"Service","File","Line","Match"
"adminPautasService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\components\ExcluirPautaButton.tsx","4","import { deletePauta } from ""../services/adminPautasService"";"
"analisePleitoService","(no matches)","",""
"atribuicoesService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\DashboardPage.tsx","23","import { makeAtribuicaoId, gerarPleitoKey } from ""../services/atribuicoesService"";"
"atribuicoesService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\MinhasTarefasPage.tsx","25","import { makeAtribuicaoId, gerarPleitoKey } from ""../services/atribuicoesService"";"
"atribuicoesService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","19","} from ""../services/atribuicoesService"";"
"atribuicoesService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\pautaVersioningCompat.ts","3","import { gerarPleitoKey } from ""./atribuicoesService"";"
"authProfiles","(no matches)","",""
"exportService","(no matches)","",""
"geminiService","(no matches)","",""
"historicoAnalisesService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\AnalisePleitoPage.tsx","8","import { getHistoricoByPleitoKey, upsertHistoricoFromAtribuicao } from ""../services/historicoAnalisesService"";"
"historicoAnalisesService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\BackfillHistorico.tsx","4","import { upsertHistoricoFromAtribuicao } from ""../services/historicoAnalisesService"";"
"historicoAnalisesService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\services\retificacaoHistoricoSync.ts","11","import { upsertHistoricoFromAtribuicao } from ""./historicoAnalisesService"";"
"historicoService","(no matches)","",""
"ncmsService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\hooks\useNcmSetCgim.ts","3","import { getNcmSetCgim } from ""../services/ncmsService"";"
"ncmsService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\ConfiguracoesPage.tsx","10","} from ""../services/ncmsService"";"
"ncmsService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\DashboardPage.tsx","22","import { getNcmSetCgim } from ""../services/ncmsService"";"
"ncmsService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\HistoricoPautasPage.tsx","5","import { getNcmSetCgim } from ""../services/ncmsService"";"
"ncmsService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","14","import { getNcmSetCgim } from ""../services/ncmsService"";"
"pautaService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\components\pauta\PleitoActions.tsx","3","import { listarAnalistas, salvarPleito, Pleito } from '../../services/pautaService';"
"pautaService","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","12","} from ""../services/pautaService"";"
"pautaStore","(no matches)","",""
"pautaVersioningCompat","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\PautaCatPage.tsx","36","import { diffPautas } from ""../services/pautaVersioningCompat"";"
"regraProcesso","(no matches)","",""
"relatorioExport","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\RelatorioConsolidadoPage.tsx","13","import { exportRelatorioDocx, CabecalhoRelatorio } from ""../services/relatorioExport"";"
"retificacaoHistoricoSync","C:\Users\Ricardo Zomer\Desktop\Meusapps\CATCGIM3\src\pages\SyncHistoricoRetificadorPage.tsx","5","import { syncHistoricoFromRetificadora } from ""../services/retificacaoHistoricoSync"";"
"usersService","(no matches)","",""
"usuariosService","(no matches)","",""
